,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
1119,17354135,Успешно_реализовано,7400.0,2021-04-08 10:30:27,2021-04-08 21:55:00,400.0,,Подарочный_сертификатна_Ховерборд_(Выберите_тип:_20_минут_)_-_2x3500_=_7000,7400.0,7000.0,7400,Флайборд_/_Ховерборд_/_Ранец,24194,,HB20305,,,,,,,,,,,,,,,,,,,,
1133,17398441,Успешно_реализовано,4400.0,2021-04-09 16:52:11,2021-04-10 13:10:00,,436,,,,4400,САП-сёрф,2SU24010793,,,,,,,,,,,,,,,,,,,,,,
1148,17504661,Успешно_реализовано,7700.0,2021-04-14 12:52:36,2021-04-16 09:50:00,,800,,,,7700,Вейк-парк,2WP15999,,,,,,,,,,,,,,,,,,,,,,
1214,17861789,Успешно_реализовано,5350.0,2021-04-26 16:04:34,2021-04-29 08:17:00,350.0,390,Подарочный_сертификатна_Ховерборд_(Выберите_тип:_30_минут_)_-_1x5000_=_5000,5350.0,5000.0,5350,Флайборд_/_Ховерборд_/_Ранец,HB53420,,,,,,,,,,,,,,,,,,,,,,
1224,17934925,Успешно_реализовано,7350.0,2021-04-28 23:08:27,2021-04-30 13:43:00,,,,,,7350,Вейк-парк,2WP44923,,,,,,,,,,,,,,,,,,,,,,
1228,17947779,Успешно_реализовано,6000.0,2021-04-29 14:25:13,2021-05-06 11:52:00,0.0,,"Подарочный_сертификатна_Электробайк_(Выберите_тип:_1,5_ч_катания_для_2_человек_-_6000_р_)_-_1x6000_=_6000",6000.0,6000.0,6000,Мото_Электробайк,34684,,,,,,,,,,,,,,,,,,,,,,
1236,18022801,Успешно_реализовано,2500.0,2021-05-02 12:06:37,2021-05-16 13:50:00,290.0,0,СЕРТИФИКАТ_НА_ФОТОСЕССИЮ_(Чтобы_запечатлеть_самые_искренние_эмоции)_-_1x2500_=_2500,2790.0,2500.0,2500,Фотосессия,60258,,,,,,,,,,,,,,,,,,,,,,
1264,18220341,Успешно_реализовано,4550.0,2021-05-12 14:06:03,2021-05-13 22:39:00,,,,,,4550,Вейк-парк,WP686372,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
1290,18319255,Успешно_реализовано,6000.0,2021-05-17 09:18:46,2021-05-17 13:18:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM305267597,,,,,,,,,,,,,,,,,,,,,,
1296,18330993,Успешно_реализовано,4200.0,2021-05-17 17:11:58,2021-05-17 21:26:00,0.0,,Подарочный_сертификатв_крытый_Вейк-парк_(Выберите_тип:_1_сеанс_тренировки_на_одного_2750_р._)_-_1x2750_=_2750,2750.0,2750.0,4200,Вейк-парк,WP59361,,,,,,,,,,,,,,,,,,,,,,
1305,18350657,Успешно_реализовано,4400.0,2021-05-18 16:33:06,2021-06-06 22:25:00,,771,,,,4400,САП-сёрф,2SU24051866,,,,,,,,,,,,,,,,,,,,,,
1332,18480347,Успешно_реализовано,4290.0,2021-05-24 11:08:22,2021-05-29 17:17:00,,,,,,4290,САП-сёрф,2SU24023134,,,,,,,,,,,,,,,,,,,,,,
1357,18580801,Успешно_реализовано,9200.0,2021-05-28 18:35:36,2021-05-29 17:20:00,,,,,,9200,САП-сёрф,2SU24016422,,WS40111567,,,,,,,,,,,,,,,,,,,,
1358,18581471,Успешно_реализовано,1600.0,2021-05-28 19:00:37,2021-05-28 19:16:00,0.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_1_час_для_двоих_)_-_1x1600_=_1600,1600.0,1600.0,1600,САП-сёрф,55614,,,,,,,,,,,,,,,,,,,,,,
1390,18637653,Успешно_реализовано,4400.0,2021-06-01 11:11:08,2021-06-06 22:31:00,400.0,350,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4400.0,4000.0,4400,Квадроциклы,KV1P1X1058558,,,,,,,Погашен,,,,,,,,,,,,,,,
1391,18641863,Успешно_реализовано,4400.0,2021-06-01 13:56:10,2021-06-06 22:31:00,400.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_1x4000_=_4000,4400.0,4000.0,4400,САП-сёрф,2SU24082266,,,,,,,,,,,,,,,,,,,,,,
1402,18673913,Успешно_реализовано,4000.0,2021-06-02 22:06:05,2021-06-05 10:11:00,0.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_1x4000_=_4000,4000.0,4000.0,4000,САП-сёрф,2SU24066991,,,,,,,,,,,,,,,,,,,,,,
1423,18715387,Успешно_реализовано,6000.0,2021-06-04 20:59:23,2021-06-04 21:32:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM305979201,,,,,,,,,,,,,,,,,,,,,,
